lat,lon,isLand
42.02217916666667,-108.59796666666666,False
42.02217916666667,-107.8614,False
42.02217916666667,-107.12483333333334,False
42.02217916666667,-106.38826666666668,False
42.02217916666667,-105.65170000000002,False
42.02217916666667,-104.91513333333336,False
42.02217916666667,-104.1785666666667,False
42.02217916666667,-103.44200000000004,False
42.02217916666667,-102.70543333333337,False
42.02217916666667,-101.96886666666671,False
42.02217916666667,-101.23230000000005,False
42.02217916666667,-100.49573333333339,False
42.02217916666667,-99.75916666666673,False
42.02217916666667,-99.02260000000007,False
42.02217916666667,-98.2860333333334,False
42.02217916666667,-97.54946666666675,False
42.02217916666667,-96.81290000000008,False
42.02217916666667,-96.07633333333342,False
42.02217916666667,-95.33976666666676,False
42.02217916666667,-94.6032000000001,False
42.02217916666667,-93.86663333333344,False
